    0.5000000000E+01    0.2121569407E+01    0.1624572334E+09    0.1000000000E+01    0.8122861669E+09    0.1000000000E+01
    0.1500000000E+02    0.3059832565E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.2500000000E+02    0.3627832654E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.3500000000E+02    0.4058416274E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.4500000000E+02    0.4413042202E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5500000000E+02    0.4718328121E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.6500000000E+02    0.4988519738E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.7500000000E+02    0.5232240087E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.8500000000E+02    0.5455152358E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.9500000000E+02    0.5661199302E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.1050000000E+03    0.5853249128E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.1150000000E+03    0.6033461181E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.1250000000E+03    0.6203506578E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.1350000000E+03    0.6364708220E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.1450000000E+03    0.6518133385E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.1550000000E+03    0.6664657087E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.1650000000E+03    0.6805006705E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.1750000000E+03    0.6939794211E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.1850000000E+03    0.7069539936E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.1950000000E+03    0.7194690449E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.2050000000E+03    0.7315632204E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.2150000000E+03    0.7432702144E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.2250000000E+03    0.7546196017E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.2350000000E+03    0.7656375005E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.2450000000E+03    0.7763471044E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.2550000000E+03    0.7867691145E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.2650000000E+03    0.7969220939E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.2750000000E+03    0.8068227595E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.2850000000E+03    0.8164862261E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.2950000000E+03    0.8259262096E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.3050000000E+03    0.8351551993E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.3150000000E+03    0.8441846039E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.3250000000E+03    0.8530248762E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.3350000000E+03    0.8616856193E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.3450000000E+03    0.8701756796E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.3550000000E+03    0.8785032255E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.3650000000E+03    0.8866758179E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.3750000000E+03    0.8947004696E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.3850000000E+03    0.9025836993E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.3950000000E+03    0.9103315778E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.4050000000E+03    0.9179497695E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.4150000000E+03    0.9254435686E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.4250000000E+03    0.9328179318E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.4350000000E+03    0.9400775073E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.4450000000E+03    0.9472266603E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.4550000000E+03    0.9542694963E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.4650000000E+03    0.9612098819E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.4750000000E+03    0.9680514636E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.4850000000E+03    0.9747976845E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.4950000000E+03    0.9814517996E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5050000000E+03    0.9880168898E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5150000000E+03    0.9944958742E+01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5250000000E+03    0.1000891522E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5350000000E+03    0.1007206462E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5450000000E+03    0.1013443193E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5550000000E+03    0.1019604094E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5650000000E+03    0.1025691426E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5750000000E+03    0.1031707349E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5850000000E+03    0.1037653921E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.5950000000E+03    0.1043533105E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.6050000000E+03    0.1049346780E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.6150000000E+03    0.1055096740E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.6250000000E+03    0.1060784703E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.6350000000E+03    0.1066412314E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.6450000000E+03    0.1071981147E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.6550000000E+03    0.1077492715E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.6650000000E+03    0.1082948468E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
